"Escherichia coli str. K-12 substr. MG1655 - GI (Reference)","Escherichia coli str. K-12 substr. MG1655 - Locus Tag (Reference)","Escherichia coli str. K-12 substr. MG1655 - NCBI RefSeq Accession (Reference)","Escherichia coli str. K-12 substr. MG1655 - Description (Reference)","Legionella pneumophila subsp. pneumophila ATCC 43290 - ortholog count (reference : comparison)","Legionella pneumophila subsp. pneumophila ATCC 43290 - ortholuge status","Legionella pneumophila subsp. pneumophila ATCC 43290 - ortholog NCBI RefSeq accession","Campylobacter jejuni subsp. jejuni M1 - ortholog count (reference : comparison)","Campylobacter jejuni subsp. jejuni M1 - ortholuge status","Campylobacter jejuni subsp. jejuni M1 - ortholog NCBI RefSeq accession","Burkholderia multivorans ATCC 17616 NC_010801 - ortholog count (reference : comparison)","Burkholderia multivorans ATCC 17616 NC_010801 - ortholuge status","Burkholderia multivorans ATCC 17616 NC_010801 - ortholog NCBI RefSeq accession","Acinetobacter baumannii 1656-2 - ortholog count (reference : comparison)","Acinetobacter baumannii 1656-2 - ortholuge status","Acinetobacter baumannii 1656-2 - ortholog NCBI RefSeq accession","Shewanella violacea DSS12 - ortholog count (reference : comparison)","Shewanella violacea DSS12 - ortholuge status","Shewanella violacea DSS12 - ortholog NCBI RefSeq accession","Vibrio cholerae O1 biovar El Tor str. N16961 - ortholog count (reference : comparison)","Vibrio cholerae O1 biovar El Tor str. N16961 - ortholuge status","Vibrio cholerae O1 biovar El Tor str. N16961 - ortholog NCBI RefSeq accession"
"16128800","b0832","NP_415353.1","glutathione transporter, permease component, ABC superfamily","1 to 6","RBB","WP_016356807.1","1 to 5","RBB","WP_002871949.1","1 to 1","RBB","WP_012217143.1","0","N/A","","0","N/A","","0","N/A",""
"16128801","b0833","NP_415354.1","predicted cyclic-di-GMP phosphodiesterase, inner membrane protein","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A",""
"16128802","b0834","NP_415355.1","predicted diguanylate cyclase","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A",""
"16128803","b0835","NP_415356.1","ribosomal protein S12 methylthiotransferase; radical SAM superfamily","1 to 1","SSD","WP_011945836.1","1 to 1","RBB","WP_002867021.1","1 to 1","RBB","WP_012467627.1","1 to 1","SSD","WP_000856678.1","0","N/A","","1 to 1","RBB","NP_232248.1"
"16128804","b0836","NP_415357.1","repressor of biofilm formation by indole transport regulation","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A",""
"16128805","b0837","NP_415358.1","soluble aldose sugar dehydrogenase","1 to 1","RBB","WP_010948457.1","0","N/A","","0","N/A","","1 to 1","RBB","WP_000986289.1","0","N/A","","0","N/A",""
"90111175","b0838","NP_415359.4","glutathione S-transferase homolog","0","N/A","","0","N/A","","1 to 1","RBB","WP_012216304.1","1 to 1","RBB","WP_000912930.1","0","N/A","","0","N/A",""
"16128807","b0839","NP_415360.1","D-alanyl-D-alanine carboxypeptidase (penicillin-binding protein 6a)","1 to 3","SSD","WP_015444497.1","0","N/A","","1 to 3","RBB","WP_006407069.1","1 to 3","RBB","WP_000197256.1","2 to 1","RBB","WP_013052676.1","2 to 1","RBB","NP_230594.1"
"16128808","b0840","NP_415361.1","DNA-binding transcriptional repressor","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A",""
"16128809","b0841","NP_415362.1","undecaprenyl pyrophosphate phosphatase","0","N/A","","0","N/A","","1 to 1","RBB","WP_012217770.1","1 to 1","RBB","WP_000051343.1","1 to 2","RBB","WP_013049681.1;WP_013053468.1","0","N/A",""
"16128810","b0842","NP_415363.1","multidrug efflux system protein","1 to 2","RBB","WP_010947134.1","0","N/A","","0","N/A","","1 to 2","RBB","WP_000790119.1","0","N/A","","0","N/A",""
"16128811","b0843","NP_415364.1","predicted protein","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A",""
"90111176","b0844","NP_415365.4","FMN and erythrose-4-P phosphatase","0","N/A","","0","N/A","","0","N/A","","1 to 2","RBB","WP_000216425.1","0","N/A","","0","N/A",""
"16128813","b0845","NP_415366.1","predicted transporter","0","N/A","","0","N/A","","1 to 1","RBB","WP_012467740.1","1 to 1","Borderline-SSD","WP_000528259.1","0","N/A","","0","N/A",""
"16128814","b0846","NP_415367.1","predicted DNA-binding transcriptional regulator","0","N/A","","0","N/A","","0","N/A","","1 to 1","RBB","WP_000323808.1","1 to 1","Non-SSD","WP_041419784.1","0","N/A",""
"16128815","b0847","NP_415368.1","predicted transporter","0","N/A","","0","N/A","","0","N/A","","1 to 1","RBB","WP_000574045.1","0","N/A","","1 to 1","RBB","NP_230790.1"
"16128816","b0848","NP_415369.1","inner membrane protein","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A",""
"16128817","b0849","NP_415370.1","glutaredoxin 1, redox coenzyme for ribonucleotide reductase (RNR1a)","0","N/A","","0","N/A","","0","N/A","","0","N/A","","1 to 1","Non-SSD","WP_013051073.1","1 to 1","RBB","NP_230791.2"
"16128818","b0850","NP_415371.1","conserved protein, DUF1418 family","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A",""
"16128819","b0851","NP_415372.1","nitroreductase A, NADPH-dependent, FMN-dependent","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","1 to 1","SSD","NP_230364.1"
"16128820","b0852","NP_415373.1","ribosomal protein S6 modification protein","1 to 1","RBB","WP_010946163.1","0","N/A","","0","N/A","","0","N/A","","0","N/A","","1 to 1","SimNSSD","NP_231912.1"
"16128821","b0853","NP_415374.1","predicted oxidoreductase","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A",""
"16128822","b0854","NP_415375.1","putrescine transporter subunit: periplasmic-binding component of ABC superfamily","0","N/A","","0","N/A","","2 to 1","RBB","WP_012213287.1;WP_006416266.1","0","N/A","","0","N/A","","0","N/A",""
"90111177","b0855","NP_415376.4","putrescine transporter subunit: ATP-binding component of ABC superfamily","0","N/A","","1 to 4","RBB","WP_002831397.1","2 to 1","RBB","WP_012213288.1;WP_006416267.1","0","N/A","","7 to 1","RBB","WP_013050064.1","0","N/A",""
"16128824","b0856","NP_415377.1","putrescine transporter subunit: membrane component of ABC superfamily","0","N/A","","0","N/A","","2 to 1","RBB","WP_012214288.1;WP_012213289.1","0","N/A","","0","N/A","","0","N/A",""
"16128825","b0857","NP_415378.1","putrescine transporter subunit: membrane component of ABC superfamily","0","N/A","","0","N/A","","2 to 1","RBB","WP_012214289.1;WP_012213290.1","0","N/A","","0","N/A","","0","N/A",""
"16128826","b0858","NP_415379.1","inner membrane protein, DUF2593 family","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A",""
"16128827","b0859","NP_415380.1","23S rRNA m(5)U747 methyltransferase","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","1 to 1","RBB","NP_233314.1"
"16128828","b0860","NP_415381.1","arginine binding protein, periplasmic","3 to 4","RBB","WP_010945799.1;WP_010947284.1;WP_015444955.1","1 to 3","RBB","WP_002854837.1","0","N/A","","0","N/A","","0","N/A","","2 to 1","RBB","NP_233145.1"
"16128829","b0861","NP_415382.1","arginine transporter subunit","1 to 5","RBB","WP_016356730.1","0","N/A","","0","N/A","","0","N/A","","0","N/A","","1 to 1","RBB","NP_233143.1"
"16128830","b0862","NP_415383.1","arginine transporter subunit","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","1 to 1","RBB","NP_233144.1"
"16128831","b0863","NP_415384.1","arginine transporter subunit","3 to 4","RBB","WP_010947284.1;WP_010945799.1;WP_015444955.1","0","N/A","","0","N/A","","0","N/A","","0","N/A","","2 to 1","RBB","NP_233145.1"
"16128832","b0864","NP_415385.1","arginine transporter subunit","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","1 to 1","RBB","NP_233146.2"
"16128833","b0865","NP_415386.1","lipoprotein","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A",""
"16128834","b0866","NP_415387.1","conserved protein, UPF0145 family","1 to 1","RBB","WP_011212882.1","0","N/A","","1 to 1","RBB","WP_006396390.1","1 to 1","RBB","WP_000927244.1","0","N/A","","1 to 1","RBB","NP_233335.1"
"16128835","b0867","NP_415388.1","1,6-anhydro-N-acetylmuramyl-L-alanine amidase, Zn-dependent; OM lipoprotein","0","N/A","","0","N/A","","1 to 1","RBB","WP_012213416.1","0","N/A","","0","N/A","","0","N/A",""
"90111178","b0868","NP_415389.2","predicted NAD(P)H-binding oxidoreductase with NAD(P)-binding Rossmann-fold domain","1 to 1","RBB","WP_010947357.1","0","N/A","","0","N/A","","0","N/A","","1 to 1","SSD","WP_041419973.1","0","N/A",""
"90111179","b0869","NP_415390.4","conserved protein with NAD(P)-binding Rossmann-fold domain","1 to 1","SSD","WP_010947032.1","0","N/A","","1 to 1","RBB","WP_006402747.1","1 to 1","RBB","WP_000369418.1","1 to 1","RBB","WP_013050769.1","1 to 1","RBB","NP_231269.1"
"16128838","b0870","NP_415391.1","L-allo-threonine aldolase, PLP-dependent","0","N/A","","0","N/A","","1 to 1","RBB","WP_012216292.1","0","N/A","","1 to 1","Borderline-SSD","WP_013050339.1","1 to 1","SSD","NP_233151.1"
"16128839","b0871","NP_415392.1","pyruvate dehydrogenase (pyruvate oxidase), thiamin-dependent, FAD-binding","1 to 5","RBB","WP_010947377.1","0","N/A","","1 to 1","RBB","WP_012217694.1","0","N/A","","0","N/A","","0","N/A",""
"16128840","b0872","NP_415393.1","HCP oxidoreductase, NADH-dependent","0","N/A","","0","N/A","","1 to 1","RBB","WP_006396367.1","0","N/A","","1 to 1","SSD","WP_041419683.1","0","N/A",""
"90111180","b0873","NP_415394.4","hybrid-cluster [4Fe-2S-2O] protein in anaerobic terminal reductases","0","N/A","","0","N/A","","0","N/A","","0","N/A","","1 to 1","RBB","WP_013050244.1","0","N/A",""
"90111181","b0874","NP_415395.2","predicted transporter","0","N/A","","0","N/A","","0","N/A","","1 to 1","RBB","WP_001190746.1","0","N/A","","1 to 1","SSD","NP_230796.1"
"16128843","b0875","NP_415396.1","aquaporin Z","0","N/A","","0","N/A","","1 to 1","RBB","WP_012212508.1","1 to 1","RBB","WP_001045987.1","1 to 1","RBB","WP_041419669.1","0","N/A",""
"16128844","b0876","NP_415397.1","conserved protein with nucleoside triphosphate hydrolase domain","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","1 to 1","RBB","NP_232934.1"
"16128845","b0877","NP_415398.1","conserved protein","0","N/A","","1 to 1","RBB","YP_005657991","0","N/A","","0","N/A","","0","N/A","","1 to 1","RBB","NP_230961.1"
"90111182","b0878","NP_415399.4","macrolide transporter subunit, membrane fusion protein (MFP) component","1 to 1","RBB","WP_014326816.1","1 to 1","RBB","WP_002866477.1","0","N/A","","1 to 1","RBB","WP_001124214.1","0","N/A","","0","N/A",""
"16128847","b0879","NP_415400.1","fused macrolide transporter subunits of ABC superfamily: ATP-binding component/membrane component","1 to 1","RBB","WP_011216765.1","1 to 1","RBB","WP_002866478.1","0","N/A","","1 to 1","RBB","WP_000165904.1","1 to 1","Non-SSD","WP_013051944.1","1 to 1","RBB","NP_231208.1"
"16128848","b0880","NP_415401.1","inhibitor of DNA replication, cold shock protein homolog","1 to 1","RBB","WP_010946175.1","0","N/A","","4 to 1","RBB","WP_006396978.1;WP_006400508.1;WP_004196460.1;WP_006400778.1","0","N/A","","1 to 2","SSD","WP_013050473.1;WP_005500728.1","1 to 1","SSD","NP_230787.1"
"16128849","b0881","NP_415402.1","regulatory protein for ClpA substrate specificity","1 to 1","SSD","WP_011215007.1","1 to 1","RBB","WP_002856038.1","1 to 1","RBB","WP_006398529.1","1 to 1","SSD","WP_001260033.1","1 to 1","SSD","WP_013051103.1","1 to 1","SSD","NP_230788.1"
"16128850","b0882","NP_415403.1","ATPase and specificity subunit of ClpA-ClpP ATP-dependent serine protease, chaperone activity","1 to 1","SSD","WP_011945936.1","1 to 1","RBB","WP_002866125.1","1 to 1","RBB","WP_006398530.1","1 to 1","SSD","WP_000952702.1","1 to 1","SSD","WP_013051104.1","1 to 1","SSD","NP_230789.1"
"16128851","b0884","NP_415404.1","translation initiation factor IF-1","1 to 1","SSD","WP_010947496.1","1 to 1","RBB","WP_002781436.1","1 to 1","RBB","WP_004521905.1","1 to 1","SSD","WP_001284370.1","1 to 1","SSD","WP_005500725.1","1 to 1","SSD","NP_231373.1"
"16128852","b0885","NP_415405.1","leucyl/phenylalanyl-tRNA-protein transferase","1 to 1","SSD","WP_010947494.1","1 to 1","RBB","WP_002826100.1","1 to 1","RBB","WP_006414405.1","1 to 1","SSD","WP_000854785.1","1 to 1","SSD","WP_013051106.1","1 to 1","Borderline-SSD","NP_231371.1"
"16128853","b0886","NP_415406.1","fused glutathione, cysteine exporter subunits of ABC superfamily: membrane component/ATP-binding component","0","N/A","","0","N/A","","0","N/A","","0","N/A","","1 to 1","RBB","WP_013049811.1","1 to 1","RBB","NP_230825.1"
"16128854","b0887","NP_415407.1","fused glutathione, cysteine exporter subunits of ABC superfamily: membrane component/ATP-binding component","0","N/A","","0","N/A","","0","N/A","","0","N/A","","1 to 1","RBB","WP_013049810.1","1 to 1","SSD","NP_230826.1"
"16128855","b0888","NP_415408.1","thioredoxin reductase, FAD/NAD(P)-binding","1 to 1","SSD","WP_011946716.1","1 to 1","SSD","WP_014516909.1","1 to 1","RBB","WP_006400809.1","1 to 1","SSD","WP_001276144.1","1 to 1","SSD","WP_013051575.1","1 to 1","SSD","NP_230827.1"
"16128856","b0889","NP_415409.1","DNA-binding transcriptional dual regulator, leucine-binding","0","N/A","","0","N/A","","1 to 1","RBB","WP_006400706.1","1 to 1","RBB","WP_001247568.1","1 to 1","SSD","WP_013051573.1","1 to 1","SSD","NP_231538.1"
"16128857","b0890","NP_415410.1","DNA translocase at septal ring sorting daughter chromsomes","1 to 1","SSD","WP_010947492.1","1 to 1","RBB","WP_012006693.1","2 to 1","RBB","WP_012467517.1;WP_012212966.1","1 to 1","SSD","WP_000127823.1","1 to 1","SSD","WP_041420313.1","1 to 1","SSD","NP_231537.1"
"145698236","b0891","NP_415411.2","chaperone for lipoproteins","1 to 1","RBB","WP_011946715.1","0","N/A","","1 to 1","RBB","WP_006410990.1","1 to 1","Borderline-SSD","WP_001056757.1","1 to 1","SSD","WP_013051571.1","1 to 1","SSD","NP_230752.1"
"16128859","b0892","NP_415412.1","recombination protein involved in processing recombnation intermediates at replication forks","1 to 1","SSD","WP_010947490.1","1 to 1","RBB","WP_002866353.1","1 to 1","RBB","WP_006406276.1","1 to 1","SSD","WP_001285411.1","1 to 1","SSD","WP_013051570.1","1 to 1","SSD","NP_230753.1"
"16128860","b0893","NP_415413.1","seryl-tRNA synthetase, also charges selenocysteinyl-tRNA with serine","1 to 1","SSD","WP_010946261.1","1 to 1","SSD","WP_002865890.1","1 to 1","RBB","WP_006400804.1","1 to 1","SSD","WP_000566837.1","1 to 1","SSD","WP_013051568.1","1 to 1","SSD","NP_230755.1"
"90111183","b0894","NP_415414.4","dimethyl sulfoxide reductase, anaerobic, subunit A","0","N/A","","1 to 3","RBB","WP_041176750.1","1 to 6","RBB","WP_012214194.1","0","N/A","","0","N/A","","0","N/A",""
"16128862","b0895","NP_415415.1","dimethyl sulfoxide reductase, anaerobic, subunit B","0","N/A","","1 to 2","RBB","WP_002866871.1","0","N/A","","0","N/A","","2 to 1","RBB","WP_041419929.1","6 to 1","RBB","NP_231153.1"
"16128863","b0896","NP_415416.1","dimethyl sulfoxide reductase, anaerobic, subunit C","0","N/A","","1 to 2","RBB","WP_002866872.1","0","N/A","","0","N/A","","0","N/A","","0","N/A",""
"16128864","b0897","NP_415417.1","predicted hydrolase, isochorismatase family","0","N/A","","0","N/A","","1 to 1","RBB","WP_012213650.1","1 to 1","RBB","WP_000046156.1","1 to 1","SSD","WP_013049834.1","0","N/A",""
"16128865","b0898","NP_415418.1","predicted MFS-type transporter","0","N/A","","1 to 1","RBB","WP_002877194.1","0","N/A","","0","N/A","","0","N/A","","1 to 1","Borderline-SSD","NP_233139.1"
"90111184","b0899","NP_415419.2","predicted transporter","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A",""
"16128867","b0900","NP_415420.1","predicted DNA-binding transcriptional regulator","0","N/A","","0","N/A","","1 to 1","RBB","WP_012213653.1","0","N/A","","0","N/A","","0","N/A",""
"16128868","b0901","NP_415421.1","conserved protein","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A",""
"16128869","b0902","NP_415422.1","pyruvate formate lyase activating enzyme 1","0","N/A","","0","N/A","","0","N/A","","0","N/A","","1 to 1","RBB","WP_013050902.1","1 to 1","RBB","NP_231503.1"
"16128870","b0903","NP_415423.1","pyruvate formate lyase I","0","N/A","","0","N/A","","0","N/A","","0","N/A","","1 to 1","RBB","WP_013050903.1","1 to 1","RBB","NP_231500.1"
"16128871","b0904","NP_415424.1","formate channel","0","N/A","","0","N/A","","0","N/A","","0","N/A","","1 to 1","RBB","WP_013050904.1","1 to 1","SSD","NP_231331.1"
"90111185","b0905","NP_415425.4","conserved protein","0","N/A","","0","N/A","","0","N/A","","0","N/A","","1 to 1","RBB","WP_041419830.1","0","N/A",""
"16128873","b0906","NP_415426.1","inner membrane protein, UPF0702 family","1 to 1","RBB","WP_010945813.1","0","N/A","","0","N/A","","1 to 1","RBB","WP_000366082.1","0","N/A","","0","N/A",""
"16128874","b0907","NP_415427.1","3-phosphoserine/phosphohydroxythreonine aminotransferase","1 to 1","RBB","WP_015444522.1","1 to 1","RBB","WP_014516941.1","1 to 1","RBB","WP_012213843.1","1 to 1","SSD","WP_001203182.1","1 to 1","SSD","WP_013051345.1","1 to 1","SSD","NP_230804.1"
"16128875","b0908","NP_415428.1","5-enolpyruvylshikimate-3-phosphate synthetase","1 to 1","Non-SSD","WP_032802454.1","1 to 1","SSD","WP_002865918.1","1 to 1","RBB","WP_012213841.1","1 to 1","RBB","WP_000082057.1","1 to 1","SSD","WP_013051348.1","1 to 1","SSD","NP_231368.1"
"90111186","b0909","NP_415429.2","predicted peptidase with chaperone function","0","N/A","","0","N/A","","1 to 2","RBB","WP_006406591.1","1 to 2","RBB","WP_001034598.1","0","N/A","","0","N/A",""
"16128877","b0910","NP_415430.1","cytidylate kinase","1 to 1","SSD","WP_011946434.1","0","N/A","","1 to 1","RBB","WP_006400728.1","1 to 1","RBB","WP_000218018.1","1 to 1","SSD","WP_041419849.1","1 to 1","SSD","NP_231550.1"
"16128878","b0911","NP_415431.1","30S ribosomal subunit protein S1","1 to 1","SSD","WP_010947150.1","1 to 1","RBB","WP_002877345.1","1 to 1","RBB","WP_006400727.1","1 to 1","SSD","WP_000140309.1","1 to 1","SSD","WP_013051350.1","1 to 1","SSD","NP_231549.1"
"16128879","b0912","NP_415432.1","integration host factor (IHF), DNA-binding protein, beta subunit","1 to 1","SSD","WP_010948640.1","0","N/A","","1 to 1","RBB","WP_006400726.1","1 to 1","SSD","WP_000205997.1","1 to 1","SSD","WP_013051351.1","1 to 1","SSD","NP_231548.1"
"90111187","b0913","NP_415433.4","inner membrane protein, ComEC family of competence proteins","1 to 1","RBB","WP_011945789.1","0","N/A","","1 to 1","RBB","WP_012467654.1","1 to 1","SSD","WP_000472705.1","1 to 1","SSD","WP_041419936.1","1 to 1","RBB","NP_231513.1"
"16128881","b0914","NP_415434.1","fused lipid transporter subunits of ABC superfamily: membrane component/ATP-binding component","1 to 1","SSD","WP_011946747.1","1 to 1","SSD","WP_002858782.1","1 to 1","RBB","WP_012212978.1","1 to 1","SSD","WP_001070734.1","1 to 1","SSD","WP_013052023.1","1 to 1","SSD","NP_231512.1"
"16128882","b0915","NP_415435.1","lipid A 4'kinase","1 to 1","SSD","WP_010947544.1","1 to 1","RBB","WP_002865989.1","1 to 1","RBB","WP_012212840.1","1 to 1","SSD","WP_000050464.1","1 to 1","SSD","WP_013052022.1","1 to 1","SSD","NP_231511.1"
"16128883","b0916","NP_415436.1","conserved protein","0","N/A","","0","N/A","","1 to 1","RBB","WP_012468012.1","1 to 1","RBB","WP_000204295.1","0","N/A","","0","N/A",""
"16128884","b0917","NP_415437.1","conserved protein, UPF0434 family","1 to 1","SSD","WP_010947637.1","0","N/A","","1 to 1","RBB","WP_006398499.1","0","N/A","","1 to 1","Borderline-SSD","WP_013052021.1","1 to 1","SSD","NP_231510.1"
"16128885","b0918","NP_415438.1","3-deoxy-manno-octulosonate cytidylyltransferase","1 to 1","SSD","WP_010947636.1","1 to 1","RBB","WP_002856736.1","1 to 1","RBB","WP_012212839.1","1 to 1","SSD","WP_000680697.1","1 to 1","Borderline-SSD","WP_041419620.1","1 to 1","SSD","NP_231509.1"
"16128886","b0919","NP_415439.1","conserved protein","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A",""
"16128887","b0920","NP_415440.1","conserved protein, DUF218 superfamily","1 to 1","SSD","WP_010948328.1","0","N/A","","0","N/A","","1 to 1","RBB","WP_001127144.1","1 to 1","SSD","WP_041419766.1","1 to 1","Borderline-SSD","NP_231354.1"
"16128888","b0921","NP_415441.1","predicted S-adenosyl-L-methionine-dependent methyltransferase","0","N/A","","0","N/A","","1 to 1","RBB","WP_012218289.1","0","N/A","","0","N/A","","1 to 1","RBB","NP_231353.1"
"16128889","b0922","NP_415442.1","chromosome condensin MukBEF, kleisin-like subunit, binds calcium","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","1 to 1","RBB","NP_231352.1"
"226524705","b0923","NP_415443.2","chromosome condensin MukBEF, MukE subunit","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","1 to 1","RBB","NP_231351.1"
"16128891","b0924","NP_415444.1","chromosome condensin MukBEF, ATPase and DNA-binding subunit","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","1 to 1","RBB","NP_231350.1"
"16128892","b0925","NP_415445.1","murein L,D-transpeptidase","0","N/A","","0","N/A","","0","N/A","","0","N/A","","1 to 1","RBB","WP_041419822.1","1 to 1","SSD","NP_230913.1"
"16128893","b0926","NP_415446.1","conserved protein","0","N/A","","0","N/A","","0","N/A","","0","N/A","","1 to 1","RBB","WP_013051155.1","1 to 1","RBB","NP_230914.1"
"16128894","b0927","NP_415447.1","predicted metal-binding enzyme","0","N/A","","1 to 1","SSD","WP_002865991.1","1 to 1","RBB","WP_006401365.1","1 to 1","RBB","WP_000942274.1","1 to 1","SSD","WP_013052098.1","1 to 1","RBB","NP_230915.1"
"16128895","b0928","NP_415448.1","aspartate aminotransferase, PLP-dependent","0","N/A","","0","N/A","","0","N/A","","0","N/A","","1 to 1","SSD","WP_013051433.1","1 to 1","Borderline-SSD","NP_230938.2"
"16128896","b0929","NP_415449.1","outer membrane porin 1a (Ia;b;F)","0","N/A","","0","N/A","","0","N/A","","0","N/A","","3 to 1","RBB","WP_013052877.1","0","N/A",""
